"月ノ美兎","2018-02-10T13:08:13Z","月ノ美兎の雑談生放送（１）",=HYPERLINK("https://www.youtube.com/watch?v=fdUardVKsNU")
"月ノ美兎","2018-02-11T11:05:35Z","月ノ美兎の個性派ゲームフェス実況(1)",=HYPERLINK("https://www.youtube.com/watch?v=_rmWAyNODsc")
"月ノ美兎","2018-02-16T04:15:59Z","10分で分かる月ノ美兎【にじさんじ公式】",=HYPERLINK("https://www.youtube.com/watch?v=03H1qSot9_s")
"勇気ちひろ","2018-02-08T22:13:53Z","ちひろのじゃがりこ面せつ✧*｡٩(ˊᗜˋ*)و✧*｡",=HYPERLINK("https://www.youtube.com/watch?v=PwrVtDd84XU")
"勇気ちひろ","2018-02-18T04:44:36Z","ちひろの初ゲーム動画(Mirrativ)",=HYPERLINK("https://www.youtube.com/watch?v=Vjvb0ziXf5s")
"勇気ちひろ","2018-03-11T11:15:01Z","ちひろチャンネル（テスト）",=HYPERLINK("https://www.youtube.com/watch?v=NAlIJ7vFtA0")
"勇気ちひろ","2018-03-13T07:41:49Z","ちひろのみらてぃぶアーカイブ！その1٩(๑ᵒ̴̶̷͈̀ ᗜ ᵒ̴̶̷͈́)و ̑̑ ✧ｲｪ~ｨ .:*♬",=HYPERLINK("https://www.youtube.com/watch?v=h50t5Lim5wA")
"勇気ちひろ","2018-03-13T07:42:13Z","ちひろのみらてぃぶアーカイブ！その2٩(๑ᵒ̴̶̷͈̀ ᗜ ᵒ̴̶̷͈́)و ̑̑ ✧ｲｪ~ｨ .:*♬【ゲーム】",=HYPERLINK("https://www.youtube.com/watch?v=spBdSlmnjo0")
"ぽんぽこ","2018-02-01T15:07:44Z","甲賀流忍者！ぽんぽこだよ！【バーチャルYouTuber】",=HYPERLINK("https://www.youtube.com/watch?v=1j-cgb7c3Q4")
"ぽんぽこ","2018-02-06T14:31:07Z","ぽんぽこ、猿探しの旅へ行くの巻！【バーチャル YouTuber】",=HYPERLINK("https://www.youtube.com/watch?v=tY0_zaxzxxo")
"ぽんぽこ","2018-02-11T06:16:44Z","ぽんぽこ、イノシシ狩りに行くの巻！【バーチャルYoutuber】",=HYPERLINK("https://www.youtube.com/watch?v=b_DI3TxKzq4")
"ぽんぽこ","2018-02-14T12:05:52Z","ぽんぽこ直伝！チョコレシピを伝授するの巻！【バーチャルYouTuber】",=HYPERLINK("https://www.youtube.com/watch?v=BHBedvQcKCw")
"ぽんぽこ","2018-02-19T16:11:07Z","共食い！！たぬきバーガーを食す巻【バーチャルYouTuber】",=HYPERLINK("https://www.youtube.com/watch?v=Ry3nh7K7l5g")
"ヒメヒナ","2018-03-18T09:46:57Z","【準備投稿】REC00 田中ヒメ",=HYPERLINK("https://www.youtube.com/watch?v=EMM2WsmCz-c")
"ヒメヒナ","2018-03-22T06:07:03Z","【初投稿】パンツが設定画にのっていたことについての釈明会見",=HYPERLINK("https://www.youtube.com/watch?v=-6OsvuwI0Ck")
"ヒメヒナ","2018-03-26T05:01:12Z","【田中ヒメ編】もらった質問にパリピ感満載で答えてみたｗｗｗ",=HYPERLINK("https://www.youtube.com/watch?v=RgbfAPLhtk8")
"ヒメヒナ","2018-03-30T13:56:19Z","【斎藤さん】フォロワーさんと通話してみた結果カオスwww",=HYPERLINK("https://www.youtube.com/watch?v=RElaKSY8LZA")
